Date,Congestion_Level,Avg_Speed_kmph
10/1/2025,2,38.02
10/2/2025,4,24.38
10/3/2025,5,20.17
10/4/2025,2,35.71
10/5/2025,4,24.11
10/6/2025,3,29.14
10/7/2025,4,23.32
10/8/2025,3,29.58
10/9/2025,4,26.87
10/10/2025,2,34.39
10/11/2025,3,30.06
10/12/2025,2,32.4
10/13/2025,3,31.28
10/14/2025,2,34.44
10/15/2025,3,33.06
10/16/2025,4,26.01
10/17/2025,4,25.64
10/18/2025,2,37.45
10/19/2025,2,35.26
10/20/2025,5,21.78
10/21/2025,5,19.94
10/22/2025,3,30.69
10/23/2025,3,34.68
10/24/2025,3,27.88
10/25/2025,3,31.26
10/26/2025,1,41.42
10/27/2025,2,33.69
10/28/2025,2,31.01
10/29/2025,2,35.42
10/30/2025,3,31.35
10/31/2025,5,20.04
11/1/2025,2,37.14
11/2/2025,2,38.94
11/3/2025,3,27.51
11/4/2025,4,23.68
11/5/2025,1,42.76
11/6/2025,1,38.65
11/7/2025,5,17.76
11/8/2025,2,37.64
11/9/2025,1,37.89
11/10/2025,3,26.81
11/11/2025,5,18.38
11/12/2025,3,27.68
11/13/2025,3,31.28
11/14/2025,3,27.38
11/15/2025,3,28.55
11/16/2025,1,41.48
11/17/2025,2,33.93
11/18/2025,3,35.73
11/19/2025,3,32.66
11/20/2025,5,18.81
11/21/2025,5,17.83
11/22/2025,1,41.9
11/23/2025,2,34.93
11/24/2025,4,23.76
11/25/2025,2,32.57
11/26/2025,1,42.26
11/27/2025,3,28.99
11/28/2025,2,34.41
11/29/2025,1,41.82
11/30/2025,3,28.93
12/1/2025,3,27.38
12/2/2025,1,42.87
12/3/2025,3,32.67
12/4/2025,3,30.62
12/5/2025,2,35.37
12/6/2025,2,34.37
12/7/2025,2,31.34
12/8/2025,4,25.45
12/9/2025,5,20.95
12/10/2025,5,18.71
12/11/2025,4,24.02
12/12/2025,3,29.13
12/13/2025,5,21.17
12/14/2025,1,38.65
12/15/2025,3,32.07
12/16/2025,2,31.66
12/17/2025,3,30.1
12/18/2025,3,34.29
12/19/2025,3,28.86
12/20/2025,2,29.29
12/21/2025,3,31.47
12/22/2025,5,20.39
12/23/2025,2,37.4
12/24/2025,3,31.81
12/25/2025,3,30.22
12/26/2025,1,42.67
12/27/2025,2,35.34
12/28/2025,1,38.69
12/29/2025,1,41.29
12/30/2025,4,24.64
12/31/2025,2,35.58
